request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_57,12790.14,affordable_later,wait,2026-06-15:61446,2026-06-15,none,Pay ZAR 61446 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42700 minimum.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today. This leaves at least IDR 14433900 available over the next 90 days.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 7 May 2025. This leaves at least INR 132600 available."
request_60,142.92,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 15 January 2026. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 17 March 2024. This leaves at least ZAR 36700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This leaves at least USD 1300 available over the next 90 days.
request_63,34223.94,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343900 request. Although INR 34223.94 is available today, the full amount cannot be completed safely within 90 days."
request_64,43672.39,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-06-15,none,"Use 3 installments of INR 22082.67, starting 11 June 2024. This leaves at least INR 36100 available."
request_65,5697.80,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54340 request. Although ZAR 5697.80 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This leaves at least INR 80700 available over the next 90 days.
request_67,302.26,affordable_later,wait,2024-11-15:2094,2024-11-15,none,Pay USD 2094 in full on 15 November 2024. Paying earlier would take the balance below the USD 1200 minimum.
request_68,1301.52,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1500 available."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,49466.44,affordable_later,wait,2025-02-15:243900,2025-02-15,none,Pay INR 243900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115000 minimum.
request_71,377874,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21451000 request. Although IDR 377874 is available today, the full amount cannot be completed safely within 90 days."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today. This leaves at least ZAR 12200 available over the next 90 days.
request_73,69352.76,affordable_with_plan,full_payment,2023-01-20:71400,2023-01-20,reduce_to:event_6789:1425,"Reduce streaming to INR 1425, then pay INR 71400 today. This leaves at least INR 103200 available."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This leaves at least ZAR 21900 available over the next 90 days.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 9 April 2026. This leaves at least ZAR 39000 available."
request_76,434.33,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 4455.60 request. Although USD 434.33 is available today, the full amount cannot be completed safely within 90 days."
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today. This leaves at least INR 82200 available over the next 90 days.
request_78,44080.01,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-15,reduce_to:event_7225:1480,"Reduce shopping to INR 1480, then pay INR 50200 today. This leaves at least INR 55200 available."
request_79,345.82,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2151.60 request. Although EUR 345.82 is available today, the full amount cannot be completed safely within 90 days."
request_80,0,not_affordable,not_recommended,none,,none,Do not make this payment by 21 February 2025. None of the available options keeps the INR 121300 minimum protected.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. This leaves at least USD 1600 available over the next 90 days.
request_82,372.56,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,Pay USD 1405.20 in full on 15 February 2025. Paying earlier would take the balance below the USD 1100 minimum.
request_83,7089.31,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156200 request. Although INR 7089.31 is available today, the full amount cannot be completed safely within 90 days."
request_84,20152.60,affordable_later,wait,2026-06-15:95400,2026-06-15,none,Pay INR 95400 in full on 15 June 2026. Paying earlier would take the balance below the INR 91300 minimum.
request_85,361373.72,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19304000 request. Although IDR 361373.72 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. This leaves at least INR 84900 available over the next 90 days.
request_87,13854.04,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487900 request. Although INR 13854.04 is available today, the full amount cannot be completed safely within 90 days."
request_88,10541.14,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9045.23, starting 14 June 2024. This leaves at least ZAR 25800 available."
request_89,9322293.11,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 13756000 request. Although IDR 9322293.11 is available today, the full amount cannot be completed safely within 90 days."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This leaves at least ZAR 7600 available over the next 90 days.
request_91,423.78,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,Pay EUR 1927.20 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2100 minimum.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. This leaves at least ZAR 28100 available over the next 90 days.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Pay USD 1729.20 today. This leaves at least USD 1900 available over the next 90 days.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,739.04,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553000 request. Although INR 739.04 is available today, the full amount cannot be completed safely within 90 days."
request_96,71350.64,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 90200 request. Although INR 71350.64 is available today, the full amount cannot be completed safely within 90 days."
request_97,1279.24,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8145.28, starting 19 March 2024. This leaves at least ZAR 29700 available."
request_98,7451.79,affordable_later,wait,2025-09-15:27148,2025-09-15,none,Pay ZAR 27148 in full on 15 September 2025. Paying earlier would take the balance below the ZAR 30000 minimum.
request_99,17020.11,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.90,"Reduce dining to ZAR 1065.90, then pay ZAR 18062 today. This leaves at least ZAR 49100 available."
request_100,26480.21,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12866.19, starting 13 June 2024. This leaves at least ZAR 32500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This leaves at least INR 187400 available over the next 90 days.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,1861.95,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368300 request. Although INR 1861.95 is available today, the full amount cannot be completed safely within 90 days."
request_104,7234.94,affordable_later,wait,2025-04-15:17204,2025-04-15,none,Pay ZAR 17204 in full on 15 April 2025. Paying earlier would take the balance below the ZAR 24700 minimum.
request_105,49913.62,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-08,reduce_to:event_9720:1632,"Reduce shopping to INR 1632, then pay INR 53500 today. This leaves at least INR 73900 available."
request_106,446.24,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,Pay EUR 2207.70 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1200 minimum.
request_107,2372.14,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-06-15,none,"Use 3 installments of EUR 878.59, starting 8 May 2025. This leaves at least EUR 1600 available."
request_108,1752.93,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 55308 request. Although ZAR 1752.93 is available today, the full amount cannot be completed safely within 90 days."
request_109,636.53,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 6 August 2025. This leaves at least ZAR 11200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. This leaves at least IDR 23022800 available over the next 90 days.
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,22641.79,affordable_with_plan,full_payment,2026-09-04:36500,2026-09-15,reduce_to:event_10438:1565|reduce_to:event_10440:1490,"Reduce streaming to INR 1565, and Reduce entertainment to INR 1490, then pay INR 36500 today. This leaves at least INR 82300 available."
request_114,59583.90,affordable_with_plan,full_payment,2026-01-04:65300,2026-01-04,stop:event_10559,"Stop the streaming subscription, then pay INR 65300 today. This leaves at least INR 113400 available."
request_115,14503.88,affordable_later,wait,2024-11-15:80500,2024-11-15,none,Pay INR 80500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38800 minimum.
request_116,7786.67,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241200 request. Although INR 7786.67 is available today, the full amount cannot be completed safely within 90 days."
request_117,856.74,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,reduce_to:event_10878:20.50,"Reduce dining to EUR 20.50, then pay EUR 880 today. This leaves at least EUR 1000 available."
request_118,639.30,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available."
request_119,58263.13,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 203500 request. Although INR 58263.13 is available today, the full amount cannot be completed safely within 90 days."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This leaves at least IDR 20050300 available over the next 90 days.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 5 August 2025. This leaves at least IDR 12588500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today. This leaves at least IDR 18091200 available over the next 90 days.
request_124,1391.10,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3104.20 request. Although EUR 1391.10 is available today, the full amount cannot be completed safely within 90 days."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 today. This leaves at least ZAR 11300 available over the next 90 days.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. This leaves at least INR 129700 available over the next 90 days.
request_127,9105.34,affordable_later,wait,2024-10-15:23980,2024-10-15,none,Pay ZAR 23980 in full on 15 October 2024. Paying earlier would take the balance below the ZAR 41000 minimum.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. This leaves at least ZAR 42600 available over the next 90 days.
request_129,155.12,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2668.80 request. Although USD 155.12 is available today, the full amount cannot be completed safely within 90 days."
request_130,364.17,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,Pay USD 1978.80 in full on 15 February 2025. Paying earlier would take the balance below the USD 1400 minimum.
request_131,1117.17,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-23,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1100 available."
request_132,292.09,affordable_with_plan,full_payment,2026-01-05:379.86,2026-01-15,reduce_to:event_12142:26,"Reduce shopping to USD 26, then pay USD 379.86 today. This leaves at least USD 1100 available."
request_133,15770000,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 15770000 request. Although IDR 15770000 is available today, the full amount cannot be completed safely within 90 days."
request_134,4123331.65,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,Pay IDR 21831000 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15902500 minimum.
request_135,282.94,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413,"Stop the video streaming plan, then pay USD 304.80 today. This leaves at least USD 500 available."
request_136,499.49,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Reduce shopping to USD 27.20, then pay USD 560.40 today. This leaves at least USD 1100 available."
request_137,25057.06,affordable_later,wait,2026-01-15:80100,2026-01-15,none,Pay INR 80100 in full on 15 January 2026. Paying earlier would take the balance below the INR 71800 minimum.
request_138,880.57,affordable_with_plan,partial_payment,2026-04-07:880.57|2026-04-15:376.37,2026-04-15,none,Pay EUR 880.57 today and the remaining EUR 376.37 on 15 April 2026. This completes the full request and keeps the EUR 2300 minimum protected.
request_139,1243.94,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2316 request. Although USD 1243.94 is available today, the full amount cannot be completed safely within 90 days."
request_140,1418.19,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62832 request. Although ZAR 1418.19 is available today, the full amount cannot be completed safely within 90 days."
request_141,22128.33,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171600 request. Although INR 22128.33 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay USD 1263.60 today. This leaves at least USD 1700 available over the next 90 days.
request_143,2210.46,affordable_later,wait,2025-07-15:12584,2025-07-15,none,Pay ZAR 12584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11300 minimum.
request_144,231.50,affordable_with_plan,full_payment,2026-07-04:233.34,2026-07-04,stop:event_13240,"Stop the delivery service plan, then pay USD 233.34 today. This leaves at least USD 600 available."
request_145,41756.63,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,none,"Use 3 installments of INR 75365.33, starting 20 March 2024. This leaves at least INR 155400 available."
request_146,14974.28,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449400 request. Although INR 14974.28 is available today, the full amount cannot be completed safely within 90 days."
request_147,468.48,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 900 available."
request_148,7066.32,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 22242 request. Although ZAR 7066.32 is available today, the full amount cannot be completed safely within 90 days."
request_149,22184.23,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12706.03, starting 18 November 2025. This leaves at least ZAR 42100 available."
request_150,239.52,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-02-15,none,"Use 3 installments of EUR 171.98, starting 6 January 2026. This leaves at least EUR 700 available."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This leaves at least IDR 31633600 available over the next 90 days.
request_152,11112.10,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 13882 request. Although ZAR 11112.10 is available today, the full amount cannot be completed safely within 90 days."
request_153,115.32,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2830.80 request. Although USD 115.32 is available today, the full amount cannot be completed safely within 90 days."
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1300 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 today. This leaves at least INR 56300 available over the next 90 days.
request_156,10025.26,affordable_later,wait,2026-06-15:43076,2026-06-15,none,Pay ZAR 43076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26900 minimum.
request_157,4456271.25,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,Pay IDR 23503000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 15714100 minimum.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 7 August 2025. This leaves at least INR 131400 available."
request_159,4050.18,affordable_with_plan,full_payment,2026-01-04:13398,2026-01-04,stop:event_14619,"Stop the music subscription, then pay ZAR 13398 today. This leaves at least ZAR 8700 available."
request_160,560.31,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1200 available."
request_161,6784447.93,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,Pay IDR 21204000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 23010400 minimum.
request_162,1087402.98,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83923000 request. Although IDR 1087402.98 is available today, the full amount cannot be completed safely within 90 days."
request_163,9495399.79,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-10-15,none,"Use 3 installments of IDR 6692053.33, starting 10 September 2024. This leaves at least IDR 26728700 available."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 11 February 2025. This leaves at least IDR 29550500 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today. This leaves at least INR 95000 available over the next 90 days.
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 3 December 2024. This leaves at least USD 1700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. This leaves at least ZAR 31200 available over the next 90 days.
request_168,29186.66,affordable_with_plan,partial_payment,2026-01-07:29186.66|2026-01-15:20193.34,2026-01-15,none,Pay INR 29186.66 today and the remaining INR 20193.34 on 15 January 2026. This completes the full request and keeps the INR 114400 minimum protected.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. This leaves at least ZAR 18700 available over the next 90 days.
request_170,30050514.61,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12804480, starting 6 August 2025. This leaves at least IDR 24715800 available."
request_171,19.23,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1878.80 request. Although EUR 19.23 is available today, the full amount cannot be completed safely within 90 days."
request_172,8775.69,affordable_with_plan,partial_payment,2024-06-05:8775.69|2024-06-15:1424.31,2024-06-15,none,Pay ZAR 8775.69 today and the remaining ZAR 1424.31 on 15 June 2024. This completes the full request and keeps the ZAR 27200 minimum protected.
request_173,57026.58,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39173.33, starting 21 November 2025. This leaves at least INR 79100 available."
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay EUR 2346.30 today. This leaves at least EUR 1700 available over the next 90 days.
request_176,0,not_affordable,not_recommended,none,,none,Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Pay USD 1017.60 today. This leaves at least USD 1300 available over the next 90 days.
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 7 December 2024. This leaves at least EUR 1400 available."
request_179,5679700.35,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,Pay IDR 41648000 in full on 15 July 2025. Paying earlier would take the balance below the IDR 41430800 minimum.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today. This leaves at least INR 37300 available over the next 90 days.
request_181,533.25,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5059.20 request. Although USD 533.25 is available today, the full amount cannot be completed safely within 90 days."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. This leaves at least ZAR 31100 available over the next 90 days.
request_183,22744055.67,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 26866000 request. Although IDR 22744055.67 is available today, the full amount cannot be completed safely within 90 days."
request_184,12373.32,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251900 request. Although INR 12373.32 is available today, the full amount cannot be completed safely within 90 days."
request_185,370.14,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,Pay EUR 1257.30 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1300 minimum.
